Area_Symbol|Map_Symbol|Map_Unit_Name|Map_Unit_Acres|Non-irr_LCC_and_sub|Overall_Index|Mukey
GA015|6E2|Tallapoosa fine sandy loam, 10 to 25 percent slopes|0|7e|0.0000|767255
GA015|6E2|Tallapoosa fine sandy loam, 10 to 25 percent slopes|0|7e|0.0000|767618
GA015|6E2b|Tallapoosa fine sandy loam, 10 to 25 percent slopes||6e|0.0000|2554430
GA015|6F1|Tallapoosa fine sandy loam, 25 to 60 percent slopes|0|7e|0.0000|767256
GA015|6F1|Tallapoosa fine sandy loam, 25 to 60 percent slopes|0|7e|0.0000|767619
GA015|6F1b|Tallapoosa fine sandy loam, 25 to 60 percent slopes||6e|3.14814814814815E-06|2554431
GA015|7B|Allen very gravelly loam, 2 to 6 percent slopes||2e|0.0000|1611174
GA015|7B2|Allen fine sandy loam, 2 to 6 percent slopes|0|2e|0.0000|767267
GA015|7B2|Allen fine sandy loam, 2 to 6 percent slopes|0|2e|0.0000|767630
GA015|7C|Allen very gravelly loam, 6 to 10 percent slopes||3e|0.0000|2421663
GA015|7C2|Allen fine sandy loam, 6 to 10 percent slopes|0|3e|0.0000|767268
GA015|7C2|Allen fine sandy loam, 6 to 10 percent slopes|0|3e|0.0000|767631
GA015|7D|Allen very gravelly loam, 10 to 15 percent slopes||4e|0.0000|2421664
GA015|7D1|Allen fine sandy loam, 10 to 15 percent slopes|0|4e|0.0000|767269
GA015|7D1|Allen fine sandy loam, 10 to 15 percent slopes|0|4e|0.0000|767632
GA015|7E|Allen very gravelly loam, 15 to 30 percent slopes||6e|0.0000|1611180
GA015|7E1|Allen fine sandy loam, 15 to 25 percent slopes|0|6e|0.0000|767270
GA015|7E1|Allen fine sandy loam, 15 to 25 percent slopes|0|6e|0.0000|767633
GA015|8E3|Allen clay loam, 10 to 15 percent slopes, eroded|0|4e|0.0000|767275
GA015|8E3|Allen clay loam, 10 to 15 percent slopes, eroded|0|4e|0.0000|767638
GA015|10C2|Pacolet sandy loam, 2 to 10 percent slopes|0|3e|0.0000|767134
GA015|10C2|Pacolet sandy loam, 2 to 10 percent slopes|0|3e|0.0000|767497
GA015|10D2|Pacolet sandy loam, 10 to 15 percent slopes|0|4e|0.0000|767135
GA015|10D2|Pacolet sandy loam, 10 to 15 percent slopes|0|4e|0.0000|767498
GA015|10E1|Pacolet sandy loam, 15 to 25 percent slopes|0|6e|0.0000|767136
GA015|10E1|Pacolet sandy loam, 15 to 25 percent slopes|0|6e|0.0000|767499
GA015|11C3|Pacolet sandy clay loam, 2 to 10 percent slopes, eroded|0|4e|0.0000|767137
GA015|11C3|Pacolet sandy clay loam, 2 to 10 percent slopes, eroded|0|4e|0.0000|767500
GA015|11D3|Pacolet sandy clay loam, 10 to 15 percent slopes, eroded|0|6e|0.0000|767138
GA015|11D3|Pacolet sandy clay loam, 10 to 15 percent slopes, eroded|0|6e|0.0000|767501
GA015|15B|Anniston sandy loam, 2 to 6 percent slopes||2e|0.0000|2554260
GA015|15C|Anniston sandy loam, 6 to 10 percent slopes||3e|0.0000|2554261
GA015|15D|Anniston sandy loam, 10 to 15 percent slopes||4e|0.0000|2554262
GA015|15E|Anniston sandy loam, 15 to 30 percent slopes||6e|0.0000|2554263
GA015|16|Pits and dumps|0||99.0000|767148
GA015|16|Pits and dumps|0||99.0000|767511
GA015|16E|Fruithurst-Tallapoosa complex, 15 to 25 percent slopes||7e|0.0000|2554313
GA015|16F|Tallapoosa-Fruithurst complex, 25 to 60 percent slopes||7e|0.0000|2554379
GA015|16G|Tallapoosa-rock outcrop complex, 45 to 70 percent slopes||8s|2.35294117647059E-06|2554380
GA015|20|Pits, quarries|||99.0000|2554361
GA015|27D|Allen-Urban land complex, 0 to 15 percent slopes|||4.11764705882353E-06|2554256
GA015|29B1|Albertville fine sandy loam, 2 to 6 percent slopes|0|2e|0.0000|767160
GA015|29B1|Albertville fine sandy loam, 2 to 6 percent slopes|0|2e|0.0000|767523
GA015|29C2|Albertville fine sandy loam, 6 to 10 percent slopes|0|3e|0.0000|767161
GA015|29C2|Albertville fine sandy loam, 6 to 10 percent slopes|0|3e|0.0000|767524
GA015|29D2|Albertville fine sandy loam, 10 to 15 percent slopes|0|4e|0.0000|767162
GA015|29D2|Albertville fine sandy loam, 10 to 15 percent slopes|0|4e|0.0000|767525
GA015|29E1|Albertville fine sandy loam, 15 to 25 percent slopes|0|6e|0.0000|767163
GA015|29E1|Albertville fine sandy loam, 15 to 25 percent slopes|0|6e|0.0000|767526
GA015|31B|Townley channery silt loam, 2 to 6 percent slopes||3e|0.0000|2554387
GA015|31C|Townley channery silt loam, 6 to 10 percent slopes||4e|0.0000|2554388
GA015|31C2|Townley silt loam, 2 to 10 percent slopes|0|4e|0.0000|767164
GA015|31C2|Townley silt loam, 2 to 10 percent slopes|0|4e|0.0000|767527
GA015|31D|Townley-Montevallo complex, 10 to 15 percent slopes||6e|0.0000|2554389
GA015|31E|Townley-Montevallo complex, 15 to 30 percent slopes||6e|0.0000|2554390
GA015|31E1|Townley silt loam, 10 to 25 percent slopes|0|6e|0.0000|767165
GA015|31E1|Townley silt loam, 10 to 25 percent slopes|0|6e|0.0000|767528
GA015|31F|Townley-Montevallo complex, 30 to 45 percent slopes||7e|0.0000|2554391
GA015|31F1|Townley silt loam, 25 to 45 percent slopes|0|7e|0.0000|767166
GA015|31F1|Townley silt loam, 25 to 45 percent slopes|0|7e|0.0000|767529
GA015|32C3|Townley silty clay loam, 2 to 10 percent slopes, eroded|0|4e|0.0000|767167
