"","ï..STATE","STATION_NA","ELEVATION_","AVG_LENGTH_28","AVG_LENGTH_32","ANN_GDD50","Estimated_GDD","ANN_TNORM_","C_Degrees","marine_32","Marine_32_b","mcc_ratio_32","exponent_gdd_32","exponent_32xmarine32","gdd_calc","gdd_calc.marine32","mcc_ratio_28","exponent.gdd_28","exponent28.marine28","marine_32_b.gdd_calc","new_station_name","ANN_GDD50_new","ANN_GDD5086","long","lat","optional"
"2","AK","BETTLES AP",642,120,89,838,232.9188569,22.9,-5.055555556,1,1,-17.6043956,-0.612281521,-0.612281521,-0.188933925,-0.188933925,-23.73626374,-0.654522755,-0.654522755,-0.188933925,"BETTLES AP",746,999,-151.5089,66.9161,TRUE
"3","AK","NORTHWAY AP",1713,114,91,734,233.6144966,23.1,-4.944444444,1,1,-18.40449438,-0.601407764,-0.601407764,-0.188721969,-0.188721969,-23.05617978,-0.631925049,-0.631925049,-0.188721969,"NORTHWAY AP",653,1054,-141.9292,62.9614,TRUE
"4","AK","WALES",25,107,72,86,258.1157552,21.3,-5.944444444,1,1,-12.11214953,-0.694072424,-0.694072424,-0.181256625,-0.181256625,-18,-0.748370943,-0.748370943,-0.181256625,"WALES",2110,2456,-78.5878,42.7392,TRUE
"5","AK","GALENA AP",120,131,112,889,261.3618709,25,-3.888888889,1,1,-28.8,-0.494885057,-0.494885057,-0.180267559,-0.180267559,-33.68571429,-0.515539982,-0.515539982,-0.180267559,"GALENA AP",NA,NA,-156.9344,64.7367,TRUE
"6","AK","PRUDHOE BAY",75,70,35,80,270.2367813,10.7,-11.83333333,1,1,-2.957746479,-1.275907602,-1.275907602,-0.177563443,-0.177563443,-5.915492958,-1.37572412,-1.37572412,-0.177563443,"PRUDHOE BAY",98,204,-148.3333,70.25,TRUE
"7","AK","PORT ALCAN",1932,115,89,641,280.6174064,23.6,-4.666666667,1,1,-19.07142857,-0.565182942,-0.565182942,-0.174400546,-0.174400546,-24.64285714,-0.59770857,-0.59770857,-0.174400546,"PORT ALCAN",635,1048,-141.0061,62.6211,TRUE
"9","AK","WHITTIER",60,202,171,647,320.5953501,40.7,4.833333333,1,-0.5,35.37931034,0.698343109,-0.349171554,0.324439153,0.324439153,41.79310345,0.746521723,0.746521723,-0.162219576,"WHITTIER",597,722,-148.6858,60.7764,TRUE
"10","AK","UMIAT",266,62,29,320,371.8352919,10.8,-11.77777778,1,1,-2.462264151,-1.25362513,-1.25362513,-0.146607163,-0.146607163,-5.264150943,-1.345893053,-1.345893053,-0.146607163,"UMIAT",358,694,-152.14,69.3694,TRUE
"11","AK","SEWARD",75,189,155,595,384.8664133,40.3,4.611111111,1,-0.5,33.61445783,0.643685278,-0.321842639,0.285273362,0.285273362,40.98795181,0.6925499,0.6925499,-0.142636681,"SEWARD",3388,3674,-97.0908,40.8997,TRUE
"12","AK","FAIRBANKS INTL AP",436,138,115,1062,394.0281601,26.7,-2.944444444,1,1,-39.05660377,-0.377125645,-0.377125645,-0.139845168,-0.139845168,-46.86792453,-0.396262164,-0.396262164,-0.139845168,"FAIRBANKS INTL AP",1017,1324,-147.8761,64.8039,TRUE
"13","AK","ADAK",17,210,149,115,400.371132,40.3,4.611111111,1,-0.5,32.31325301,0.635427174,-0.317713587,0.275825026,0.275825026,45.54216867,0.724566661,0.724566661,-0.137912513,"ADAK",142,282,-176.65,51.8833,TRUE
"15","AK","KODIAK AP",15,175,140,432,413.8579746,40.5,4.722222222,1,-0.5,29.64705882,0.638256031,-0.319128015,0.267606353,0.267606353,37.05882353,0.688187934,0.688187934,-0.133803177,"KODIAK AP",405,576,-152.4856,57.7511,TRUE
