STATE,STATION_NA,ELEVATION_,AVG_LENGTH_28,AVG_LENGTH_32,ANN_GDD50,Estimated_GDD,ANN_TNORM_,C_Degrees,marine_32,Marine_32_b,mcc_ratio_32,exponent_gdd_32,exponent_32xmarine32,gdd_calc,gdd_calc*marine32,mcc_ratio_28,exponent gdd_28,exponent28*marine28,marine_32_b*gdd_calc
AK,KOTZEBUE WIEN AP,10,117,99,399,84.39309324,21.8,-5.666666667,1,1,-17.47058824,-0.701223163,-0.701223163,-0.234188576,-0.234188576,-20.64705882,-0.728919608,-0.728919608,-0.234188576
AK,BETTLES AP,642,120,89,838,232.9188569,22.9,-5.055555556,1,1,-17.6043956,-0.612281521,-0.612281521,-0.188933925,-0.188933925,-23.73626374,-0.654522755,-0.654522755,-0.188933925
AK,NORTHWAY AP,1713,114,91,734,233.6144966,23.1,-4.944444444,1,1,-18.40449438,-0.601407764,-0.601407764,-0.188721969,-0.188721969,-23.05617978,-0.631925049,-0.631925049,-0.188721969
AK,WALES,25,107,72,86,258.1157552,21.3,-5.944444444,1,1,-12.11214953,-0.694072424,-0.694072424,-0.181256625,-0.181256625,-18,-0.748370943,-0.748370943,-0.181256625
AK,GALENA AP,120,131,112,889,261.3618709,25,-3.888888889,1,1,-28.8,-0.494885057,-0.494885057,-0.180267559,-0.180267559,-33.68571429,-0.515539982,-0.515539982,-0.180267559
AK,PRUDHOE BAY,75,70,35,80,270.2367813,10.7,-11.83333333,1,1,-2.957746479,-1.275907602,-1.275907602,-0.177563443,-0.177563443,-5.915492958,-1.37572412,-1.37572412,-0.177563443
AK,PORT ALCAN,1932,115,89,641,280.6174064,23.6,-4.666666667,1,1,-19.07142857,-0.565182942,-0.565182942,-0.174400546,-0.174400546,-24.64285714,-0.59770857,-0.59770857,-0.174400546
AK,CENTRAL NO 2,920,91,68,822,300.7068118,21.5,-5.833333333,1,1,-11.65714286,-0.675261179,-0.675261179,-0.16827946,-0.16827946,-15.6,-0.709526014,-0.709526014,-0.16827946
AK,WHITTIER,60,202,171,647,320.5953501,40.7,4.833333333,1,-0.5,35.37931034,0.698343109,-0.349171554,0.324439153,0.324439153,41.79310345,0.746521723,0.746521723,-0.162219576
AK,UMIAT,266,62,29,320,371.8352919,10.8,-11.77777778,1,1,-2.462264151,-1.25362513,-1.25362513,-0.146607163,-0.146607163,-5.264150943,-1.345893053,-1.345893053,-0.146607163
AK,SEWARD,75,189,155,595,384.8664133,40.3,4.611111111,1,-0.5,33.61445783,0.643685278,-0.321842639,0.285273362,0.285273362,40.98795181,0.6925499,0.6925499,-0.142636681
AK,FAIRBANKS INTL AP,436,138,115,1062,394.0281601,26.7,-2.944444444,1,1,-39.05660377,-0.377125645,-0.377125645,-0.139845168,-0.139845168,-46.86792453,-0.396262164,-0.396262164,-0.139845168
AK,ADAK,17,210,149,115,400.371132,40.3,4.611111111,1,-0.5,32.31325301,0.635427174,-0.317713587,0.275825026,0.275825026,45.54216867,0.724566661,0.724566661,-0.137912513
AK,EIELSON FIELD,547,134,113,1019,409.8860332,26.8,-2.888888889,1,1,-39.11538462,-0.368420914,-0.368420914,-0.135013396,-0.135013396,-46.38461538,-0.385453108,-0.385453108,-0.135013396
AK,KODIAK AP,15,175,140,432,413.8579746,40.5,4.722222222,1,-0.5,29.64705882,0.638256031,-0.319128015,0.267606353,0.267606353,37.05882353,0.688187934,0.688187934,-0.133803177
AK,SHEMYA USAF BASE,122,211,175,83,422.7846304,38.9,3.833333333,1,-0.5,45.65217391,0.558646676,-0.279323338,0.262166587,0.262166587,55.04347826,0.603648294,0.603648294,-0.131083294
AK,DUTCH HARBOR,12,171,144,210,424.112503,40.1,4.5,1,-0.5,32,0.613478785,-0.306739393,0.261357402,0.261357402,38,0.650181515,0.650181515,-0.130678701
AK,EAGLE,850,100,78,848,432.5698223,25,-3.888888889,1,1,-20.05714286,-0.459967181,-0.459967181,-0.128101821,-0.128101821,-25.71428571,-0.482268342,-0.482268342,-0.128101821
AK,CLEAR 4 N,495,115,92,971,438.120873,26.1,-3.277777778,1,1,-28.06779661,-0.39954497,-0.39954497,-0.126410459,-0.126410459,-35.08474576,-0.419819115,-0.419819115,-0.126410459
AK,PORT SAN JUAN,0,181,135,499,442.7076506,40.2,4.555555556,1,-0.5,29.63414634,0.609139402,-0.304569701,0.250025807,0.250025807,39.73170732,0.672527076,0.672527076,-0.125012904
AK,ANNEX CREEK,24,194,142,387,444.994806,39.8,4.333333333,1,-0.5,32.76923077,0.588220111,-0.294110055,0.24863205,0.24863205,44.76923077,0.657871,0.657871,-0.124316025
AK,KUPARUK,64,57,24,98,445.0692591,10.3,-12.05555556,1,1,-1.99078341,-1.269458188,-1.269458188,-0.12429334,-0.12429334,-4.728110599,-1.362891439,-1.362891439,-0.12429334
AK,TANANA AP,227,106,78,953,450.5882585,25.3,-3.722222222,1,1,-20.95522388,-0.440254302,-0.440254302,-0.122611743,-0.122611743,-28.47761194,-0.467598716,-0.467598716,-0.122611743
AK,MCGRATH AP,344,132,103,830,454.1778498,26.9,-2.833333333,1,1,-36.35294118,-0.353642772,-0.353642772,-0.121518023,-0.121518023,-46.58823529,-0.376416905,-0.376416905,-0.121518023
AK,NABESNA,2901,95,60,316,475.8731376,23.9,-4.5,1,1,-13.33333333,-0.51202415,-0.51202415,-0.114907636,-0.114907636,-21.11111111,-0.552080709,-0.552080709,-0.114907636
AK,LAKE SUSITNA,2100,103,74,496,476.2113493,25.4,-3.666666667,1,1,-20.18181818,-0.429966097,-0.429966097,-0.114804586,-0.114804586,-28.09090909,-0.457655352,-0.457655352,-0.114804586
AK,OUZINKIE,70,175,133,313,487.6037084,39.4,4.111111111,1,-0.5,32.35135135,0.547350219,-0.273675109,0.222666844,0.222666844,42.56756757,0.599128319,0.599128319,-0.111333422
AK,KITOI BAY,15,157,128,424,499.8901793,39.4,4.111111111,1,-0.5,31.13513514,0.541492112,-0.270746056,0.215179659,0.215179659,38.18918919,0.576363498,0.576363498,-0.10758983
AK,VALDEZ,23,184,150,446,507.4607689,38.3,3.5,1,-0.5,42.85714286,0.48335128,-0.24167564,0.210566259,0.210566259,52.57142857,0.520044332,0.520044332,-0.10528313
AK,NENANA MUN AP,358,106,78,931,510.6497124,26.3,-3.166666667,1,1,-24.63157895,-0.374544705,-0.374544705,-0.104311483,-0.104311483,-33.47368421,-0.397807863,-0.397807863,-0.104311483
AK,UNALAKLEET AP,15,115,93,436,511.9992971,27.2,-2.666666667,1,1,-34.875,-0.325753826,-0.325753826,-0.103900275,-0.103900275,-43.125,-0.341547754,-0.341547754,-0.103900275
AK,SALCHA,680,107,88,848,515.9383033,27,-2.777777778,1,1,-31.68,-0.3356952,-0.3356952,-0.10270009,-0.10270009,-38.52,-0.349706048,-0.349706048,-0.10270009
AK,NORTH POLE,475,108,82,1047,531.6188012,26.9,-2.833333333,1,1,-28.94117647,-0.338016196,-0.338016196,-0.097922364,-0.097922364,-38.11764706,-0.35746864,-0.35746864,-0.097922364
AK,MAIN BAY,57,168,130,496,533.6631496,38.6,3.666666667,1,-0.5,35.45454545,0.485035599,-0.2425178,0.194598934,0.194598934,45.81818182,0.526368193,0.526368193,-0.097299467
AK,YAKUTAT AP,28,154,112,400,536.0510023,39.5,4.166666667,1,-0.5,26.88,0.530233989,-0.265116995,0.193143813,0.193143813,36.96,0.580392933,0.580392933,-0.096571907
AK,CORDOVA AP,38,145,116,481,543.1269644,39.1,3.944444444,1,-0.5,29.4084507,0.506294463,-0.253147231,0.188831832,0.188831832,36.76056338,0.538899165,0.538899165,-0.094415916
AK,COLD BAY AP,96,166,130,207,543.3400238,38.4,3.555555556,1,-0.5,36.5625,0.470337551,-0.235168775,0.188701996,0.188701996,46.6875,0.508225454,0.508225454,-0.094350998
AK,NOME AP,13,112,80,355,551.4492611,27.1,-2.722222222,1,1,-29.3877551,-0.323365848,-0.323365848,-0.091880176,-0.091880176,-41.14285714,-0.34641954,-0.34641954,-0.091880176
